=== Mind ===
  mind-fear | Fear
    stomach-gastritis-alcoholic | Alcoholic gastritis
    stomach-gastritis-erosive | Erosive gastritis
  stomach-ulcer | Gastric ulcer
    stomach-ulcer-peptic | Peptic ulcer
    stomach-ulcer-duodenal | Duodenal ulcer
  stomach-acidity | Acidity, hyperacidity
=== Abdomen ===
  abdomen-pain | Abdominal pain
    abdomen-pain-cramping | Cramping abdominal pain
    abdomen-pain-burning | Burning abdominal pain
    abdomen-pain-cutting | Cutting abdominal pain
    abdomen-pain-stitching | Stitching abdominal pain
    abdomen-pain-colicky | Colicky pain
    abdomen-pain-sore | Sore abdominal pain
    abdomen-pain-right-iliac | Pain in right iliac region
    abdomen-pain-left-iliac | Pain in left iliac region
    abdomen-pain-umbilical | Pain around umbilicus
    abdomen-pain-hypogastric | Pain in lower abdomen
    abdomen-pain-flatus-amel | Pain better from passing flatus
    abdomen-pain-bending-double-amel | Pain better bending double
  abdomen-distension | Distension, bloating
    abdomen-distension-eating | Bloating after eating
    abdomen-distension-flatus | Bloating from trapped gas
    abdomen-distension-tympanitic | Tympanitic distension
    abdomen-distension-gas | Abdominal distension from gas
    abdomen-distension-after-eating | Distension after eating little
  abdomen-flatulence | Flatulence
    abdomen-flatulence-obstructed | Obstructed flatulence
    abdomen-flatulence-offensive | Offensive flatulence
    abdomen-flatulence-loud | Loud flatulence
    abdomen-flatulence-trapped | Trapped wind
    abdomen-flatulence-bloating | Flatulence with bloating
  abdomen-liver | Liver complaints
    abdomen-liver-enlarged | Enlarged liver
    abdomen-liver-pain | Pain in liver region
    abdomen-liver-cirrhosis | Cirrhosis of liver
    abdomen-liver-jaundice | Jaundice
    abdomen-liver-fatty | Fatty liver
    abdomen-liver-hepatitis | Hepatitis
  abdomen-spleen | Spleen complaints
    abdomen-spleen-enlarged | Enlarged spleen
    abdomen-spleen-pain | Pain in spleen
  abdomen-hernia | Hernia
    abdomen-hernia-inguinal | Inguinal hernia
    abdomen-hernia-umbilical | Umbilical hernia
    abdomen-hernia-hiatal | Hiatal hernia
    abdomen-hernia-umbilical-children | Umbilical hernia in children
  abdomen-rumbling | Rumbling, gurgling
  abdomen-inflammation | Inflammation (peritonitis)
  abdomen-ascites | Ascites (fluid in abdomen)
  abdomen-appendicitis | Appendicitis
    abdomen-appendicitis-chronic | Chronic appendicitis tendency
  abdomen-gallstones | Gallstones (biliary colic)
    abdomen-gallstones-colic | Gallstone colic
    abdomen-gallstones-nausea | Gallstones with nausea
    abdomen-gallstones-jaundice | Gallstones with jaundice
=== Rectum ===
  rectum-constipation | Constipation
    rectum-constipation-chronic | Chronic constipation
    rectum-constipation-ineffectual-urging | Ineffectual urging to stool
    rectum-constipation-alternating-diarrhoea | Alternating constipation and diarrhoea
    rectum-constipation-pregnancy | Constipation during pregnancy
    rectum-constipation-travel | Constipation from travel/change
    rectum-constipation-children | Constipation in children
    rectum-constipation-elderly | Constipation in elderly
    rectum-constipation-sedentary | Constipation from sedentary habits
    rectum-constipation-infants | Constipation in infants
  rectum-diarrhoea | Diarrhoea
    rectum-diarrhoea-morning | Morning diarrhoea
    rectum-diarrhoea-night | Diarrhoea at night
    rectum-diarrhoea-painless | Painless diarrhoea
    rectum-diarrhoea-watery | Watery diarrhoea
    rectum-diarrhoea-bloody | Bloody diarrhoea (dysentery)
    rectum-diarrhoea-dentition | Diarrhoea during dentition
    rectum-diarrhoea-anxiety | Diarrhoea from anxiety/fright
    rectum-diarrhoea-cold | Diarrhoea from cold
    rectum-diarrhoea-fruit | Diarrhoea from fruit
    rectum-diarrhoea-chronic | Chronic diarrhoea
    rectum-diarrhoea-mucus | Diarrhea with mucus
    rectum-diarrhoea-travel | Traveler's diarrhea
  rectum-hemorrhoids | Hemorrhoids (piles)
    rectum-hemorrhoids-bleeding | Bleeding hemorrhoids
    rectum-hemorrhoids-external | External hemorrhoids
    rectum-hemorrhoids-internal | Internal hemorrhoids
    rectum-hemorrhoids-painful | Painful hemorrhoids
    rectum-hemorrhoids-pregnancy | Hemorrhoids during pregnancy
    rectum-hemorrhoids-protruding | Protruding hemorrhoids
    rectum-hemorrhoids-postpartum | Postpartum hemorrhoids
    rectum-hemorrhoids-thrombosed | Thrombosed hemorrhoids
  rectum-fissure | Anal fissure
    rectum-fissure-chronic | Chronic anal fissure
    rectum-fissure-bleeding | Anal fissure with bleeding
  rectum-fistula | Anal fistula
  rectum-itching | Itching of anus
    rectum-itching-worms | Itching from worms
    rectum-itching-hemorrhoids | Anal itching from hemorrhoids
  rectum-prolapse | Prolapse of rectum
    rectum-prolapse-children | Rectal prolapse in children
    rectum-prolapse-pregnancy | Rectal prolapse in pregnancy
  rectum-pain | Pain in rectum
    rectum-pain-stool-during | Pain during stool
    rectum-pain-stool-after | Pain after stool
    rectum-pain-burning | Burning pain in rectum
  rectum-involuntary-stool | Involuntary stool
  rectum-worms | Worms (parasites)
    rectum-worms-pinworm | Pinworms
    rectum-worms-round | Roundworms
    rectum-worms-tape | Tapeworms
=== Stool ===
  stool-hard | Hard stool
    stool-hard-dry | Hard dry stool
    stool-hard-balls | Stool in hard balls
    stool-hard-large | Stool large and hard
  stool-loose | Loose/soft stool
  stool-bloody | Bloody stool
  stool-mucous | Mucous stool
  stool-offensive | Offensive stool
  stool-color | Stool color abnormal
    stool-color-green | Green stool
    stool-color-yellow | Yellow stool
    stool-color-white | White/clay stool
    stool-color-black | Black stool
  stool-undigested | Undigested food in stool
  stool-frothy | Frothy stool
=== Urinary Organs ===
  urinary-frequent | Frequent urination
    urinary-frequent-night | Frequent urination at night (nocturia)
    urinary-frequent-cold-weather | Frequent urination in cold weather
    urinary-frequent-pregnancy | Frequent urination in pregnancy
    urinary-frequent-diabetes | Frequent urination in diabetes
    urinary-frequent-prostate | Frequent urination from prostate
  urinary-burning | Burning urination
    urinary-burning-before | Burning before urination
    urinary-burning-during | Burning during urination
    urinary-burning-after | Burning after urination
    urinary-burning-start | Burning at start of urination
    urinary-burning-end | Burning at end of urination
  urinary-retention | Retention of urine
    urinary-retention-newborn | Retention in newborns
    urinary-retention-cold | Retention from cold
  urinary-incontinence | Incontinence of urine
    urinary-incontinence-cough | Incontinence from coughing
    urinary-incontinence-night | Bedwetting (enuresis)
    urinary-incontinence-old-age | Incontinence in old age
    urinary-incontinence-children | Bedwetting in children
    urinary-incontinence-stress | Stress incontinence
    urinary-incontinence-elderly | Incontinence in elderly
  urinary-kidney-stones | Kidney stones (renal calculi)
    urinary-kidney-stones-right | Right kidney stones
    urinary-kidney-stones-left | Left kidney stones
    urinary-kidney-stones-colic | Renal colic
    urinary-kidney-stones-uric-acid | Uric acid stones
    urinary-kidney-stones-recurrent | Recurrent kidney stones
  urinary-kidney-pain | Pain in kidneys
    urinary-kidney-pain-stitching | Stitching pain in kidneys
    urinary-kidney-pain-sore | Sore pain in kidneys
  urinary-kidney-inflammation | Nephritis (kidney inflammation)
  urinary-bladder-cystitis | Cystitis (bladder infection)
    urinary-bladder-cystitis-acute | Acute cystitis
    urinary-bladder-cystitis-chronic | Chronic cystitis
    urinary-bladder-cystitis-honeymoon | Honeymoon cystitis
    urinary-cystitis-honeymoon | Honeymoon cystitis
    urinary-cystitis-interstitial | Interstitial cystitis
    urinary-cystitis-catheter | Cystitis after catheterization
  urinary-bladder-irritable | Irritable bladder
  urinary-urging | Urging to urinate
    urinary-urging-frequent | Frequent urging
    urinary-urging-ineffectual | Ineffectual urging
  urinary-prostate | Prostate complaints
    urinary-prostate-enlarged | Enlarged prostate (BPH)
    urinary-prostate-inflammation | Prostatitis
    urinary-prostate-dribbling | Dribbling from prostate
  urinary-urine-color | Urine abnormal color
    urinary-urine-dark | Dark urine
    urinary-urine-red | Red/bloody urine
    urinary-urine-cloudy | Cloudy urine
  urinary-urine-sediment | Sediment in urine
    urinary-urine-sediment-sandy | Sandy sediment (red sand)
  urinary-urine-albumin | Albuminuria
  urinary-urine-sugar | Glycosuria (sugar in urine)
=== Male Genitalia ===
  male-impotence | Impotence (erectile dysfunction)
    male-impotence-sexual-excess | Impotence from sexual excess
    male-impotence-old-age | Impotence in old age
    male-impotence-mental | Impotence from mental causes
    male-impotence-psychological | Psychogenic impotence
    male-impotence-premature-ejac | Premature ejaculation
    male-impotence-age | Age-related impotence
  male-emissions | Seminal emissions
    male-emissions-night | Nocturnal emissions
    male-emissions-frequent | Frequent emissions
    male-emissions-weakness | Emissions with weakness
  male-hydrocele | Hydrocele
  male-varicocele | Varicocele
  male-orchitis | Orchitis (testicular inflammation)
  male-pain-testes | Pain in testes
    male-pain-testes-right | Pain in right testis
    male-pain-testes-drawing | Drawing pain in testes
  male-itching | Itching of genitalia
  male-swelling | Swelling of genitalia
  male-desire-excessive | Sexual desire excessive
  male-desire-diminished | Sexual desire diminished
  male-gonorrhea | Gonorrhoea
=== Female Genitalia ===
  female-menses-irregular | Irregular menses
    female-menses-early | Menses too early
    female-menses-late | Menses too late
    female-menses-scanty | Scanty menses
    female-menses-profuse | Profuse menses (menorrhagia)
    female-menses-painful | Painful menses (dysmenorrhea)
    female-menses-absent | Absent menses (amenorrhea)
    female-menses-suppressed | Suppressed menses
    female-menses-prolonged | Prolonged menses
    female-menses-dark | Dark/clotted menses
    female-menses-bright-red | Bright red menses
    female-menses-frequent | Too frequent menses (<21 days)
  female-leucorrhea | Leucorrhoea (white discharge)
    female-leucorrhea-acrid | Acrid leucorrhoea
    female-leucorrhea-thick | Thick leucorrhoea
    female-leucorrhea-yellow | Yellow leucorrhoea
    female-leucorrhea-offensive | Offensive leucorrhoea
    female-leucorrhea-greenish | Greenish leucorrhoea
  female-metrorrhagia | Uterine bleeding between periods
  female-uterus-prolapse | Uterine prolapse
    female-uterus-prolapse-bearing-down | Bearing down sensation
  female-ovarian-pain | Ovarian pain
    female-ovarian-pain-right | Right ovarian pain
    female-ovarian-pain-left | Left ovarian pain
  female-ovarian-cyst | Ovarian cyst
  female-fibroids | Uterine fibroids
  female-pcos | Polycystic ovaries
  female-menopause | Menopausal complaints
    female-menopause-hot-flushes | Hot flushes of menopause
    female-menopause-mood | Mood changes of menopause
    female-menopause-sweating | Night sweats of menopause
    female-menopause-osteoporosis | Menopausal osteoporosis risk
    female-menopause-depression | Menopausal depression
    female-menopause-dryness | Menopausal vaginal dryness
    female-menopause-weight | Weight gain at menopause
  female-pregnancy | Pregnancy complaints
    female-pregnancy-nausea | Morning sickness
    female-pregnancy-vomiting | Vomiting of pregnancy
    female-pregnancy-hemorrhoids | Hemorrhoids of pregnancy
    female-pregnancy-varicose | Varicose veins of pregnancy
    female-pregnancy-backache | Backache of pregnancy
    female-pregnancy-anemia | Anemia during pregnancy
    female-pregnancy-gestational-diabetes | Gestational diabetes
    female-pregnancy-preeclampsia | Preeclampsia
    female-pregnancy-threatened-abortion | Threatened miscarriage
    female-pregnancy-placenta-previa | Placenta previa support
  female-lactation | Lactation disorders
    female-lactation-deficient | Deficient milk
    female-lactation-excessive | Excessive milk
    female-lactation-mastitis | Mastitis
  female-itching-vulva | Itching of vulva
  female-vaginismus | Vaginismus
  female-endometriosis | Endometriosis
    female-endometriosis-adhesions | Endometriosis with adhesions
    female-endometriosis-infertility | Endometriosis-related infertility
=== Larynx and Trachea ===
  larynx-hoarseness | Hoarseness of voice
    larynx-hoarseness-morning | Hoarseness in morning
    larynx-hoarseness-overuse | Hoarseness from overuse
    larynx-hoarseness-cold | Hoarseness from cold
    larynx-hoarseness-painless | Painless hoarseness
  larynx-voice-lost | Loss of voice (aphonia)
    larynx-voice-lost-singers | Loss of voice in singers
  larynx-laryngitis | Laryngitis
    larynx-laryngitis-chronic | Chronic laryngitis
  larynx-croup | Croup
    larynx-croup-membranous | Membranous croup
    larynx-croup-spasmodic | Spasmodic croup
  larynx-tickling | Tickling in larynx
  larynx-rawness | Rawness in larynx
  larynx-mucus | Mucus in larynx/trachea
  larynx-constriction | Constriction of larynx
  larynx-pain | Pain in larynx
  larynx-dryness | Dryness of larynx
=== Respiration ===
  resp-asthma | Asthma
    resp-asthma-night | Asthma at night
    resp-asthma-humid | Asthma in humid weather
    resp-asthma-children | Asthma in children
    resp-asthma-allergic | Allergic asthma
    resp-asthma-cold-air | Asthma from cold air
    resp-asthma-elderly | Asthma in elderly
    resp-asthma-spasmodic | Spasmodic asthma
    resp-asthma-dust | Asthma from dust
  resp-dyspnoea | Difficult breathing (dyspnoea)
    resp-dyspnoea-exertion | Dyspnoea on exertion
    resp-dyspnoea-lying | Dyspnoea lying down (orthopnoea)
    resp-dyspnoea-ascending | Dyspnoea on ascending
    resp-dyspnoea-night | Dyspnoea at night
  resp-wheezing | Wheezing
  resp-rattling | Rattling in chest
  resp-sighing | Sighing respiration
  resp-arrested | Arrested breathing
  resp-deep | Desire to breathe deeply
  resp-slow | Slow respiration
  resp-snoring | Snoring
=== Cough ===
  cough-dry | Dry cough
    cough-dry-night | Dry cough at night
    cough-dry-tickling | Dry tickling cough
    cough-dry-painful | Dry painful cough
    cough-dry-irritating | Dry irritating cough
    cough-dry-constant | Constant dry cough
    cough-dry-cold-air | Dry cough from cold air
    cough-dry-talking | Dry cough from talking
  cough-loose | Loose cough (rattling)
    cough-loose-cannot-raise | Loose cough but cannot raise phlegm
  cough-spasmodic | Spasmodic cough
    cough-spasmodic-night | Spasmodic cough at night
    cough-spasmodic-whooping | Whooping cough
    cough-spasmodic-vomiting | Spasmodic cough with vomiting
  cough-barking | Barking cough
  cough-suffocative | Suffocative cough
  cough-morning | Cough in morning
  cough-evening | Cough in evening
  cough-eating | Cough after eating
  cough-lying | Cough when lying down
  cough-talking | Cough from talking
  cough-deep | Deep cough
  cough-hacking | Hacking cough
=== Expectoration ===
  expect-yellow | Yellow expectoration
  expect-green | Green expectoration
  expect-bloody | Bloody expectoration (haemoptysis)
    expect-bloody-bright | Bright red expectoration
  expect-thick | Thick expectoration
  expect-stringy | Stringy, ropy expectoration
  expect-offensive | Offensive expectoration
  expect-salty | Salty expectoration
  expect-copious | Copious expectoration
  expect-difficult | Difficult expectoration
  expect-taste | Taste of expectoration
    expect-taste-sweetish | Sweetish taste
    expect-taste-putrid | Putrid taste
=== Chest ===
  chest-pain | Chest pain
    chest-pain-stitching | Stitching chest pain
    chest-pain-burning | Burning chest pain
    chest-pain-pressing | Pressing chest pain
    chest-pain-sides | Pain in sides of chest
    chest-pain-sternum | Pain behind sternum
    chest-pain-cough | Chest pain from coughing
    chest-pain-heart-region | Pain in heart region
    chest-pain-sore | Sore pain in chest
    chest-pain-costochondral | Costochondral junction pain
    chest-pain-breathing | Chest pain worse breathing
    chest-pain-exertion | Chest pain on exertion
  chest-palpitation | Palpitation of heart
    chest-palpitation-anxiety | Palpitation with anxiety
    chest-palpitation-exertion | Palpitation from exertion
    chest-palpitation-lying | Palpitation lying on left side
    chest-palpitation-night | Palpitation at night
    chest-palpitation-ascending | Palpitation on ascending stairs
    chest-palpitation-menses | Palpitation during menses
    chest-palpitation-tumultuous | Tumultuous palpitation
    chest-palpitation-menopause | Palpitation at menopause
    chest-palpitation-coffee | Palpitation from coffee
  chest-constriction | Constriction of chest
    chest-constriction-heart | Constriction around heart
  chest-oppression | Oppression of chest
    chest-oppression-ascending | Oppression on ascending
    chest-oppression-anxiety | Chest oppression from anxiety
    chest-oppression-eating | Chest oppression after eating
  chest-inflammation-lungs | Pneumonia
    chest-pneumonia-right | Right-sided pneumonia
    chest-pneumonia-left | Left-sided pneumonia
    chest-pneumonia-neglected | Neglected pneumonia
  chest-bronchitis | Bronchitis
    chest-bronchitis-acute | Acute bronchitis
    chest-bronchitis-chronic | Chronic bronchitis
    chest-bronchitis-children | Bronchitis in children
  chest-pleurisy | Pleurisy
  chest-hemorrhage-lungs | Lung hemorrhage
  chest-angina-pectoris | Angina pectoris
    chest-angina-exertion | Angina from exertion
    chest-angina-radiating-arm | Angina radiating to left arm
  chest-heart-weakness | Weakness of heart
  chest-phthisis | Tuberculosis of lungs
  chest-mammae-pain | Pain in mammae/breasts
    chest-mammae-pain-menses | Breast pain before menses
  chest-tumors-mammae | Breast tumors/lumps
  chest-fullness | Fullness in chest
  chest-weakness | Weakness of chest
=== Back ===
  back-pain | Back pain
    back-pain-cervical | Cervical (neck) pain
    back-pain-dorsal | Dorsal (upper back) pain
    back-pain-lumbar | Lumbar (lower back) pain
    back-pain-sacral | Sacral pain
    back-pain-coccyx | Coccyx pain
    back-pain-stitching | Stitching back pain
    back-pain-aching | Aching back pain
    back-pain-burning | Burning back pain
    back-pain-sitting | Back pain from sitting
    back-pain-standing | Back pain from standing
    back-pain-morning | Back pain in morning
    back-pain-motion-amel | Back pain better from motion
    back-pain-motion-agg | Back pain worse from motion
    back-pain-menses | Back pain during menses
    back-pain-pregnancy | Back pain during pregnancy
  back-stiffness | Stiffness of back
    back-stiffness-cervical | Stiffness of neck
    back-stiffness-lumbar | Stiffness of lumbar region
    back-stiffness-rising | Stiffness on rising
    back-stiffness-cold | Back stiffness from cold
    back-stiffness-desk | Back stiffness from desk work
  back-weakness | Weakness of back
    back-weakness-lumbar | Weakness of lumbar region
  back-tension | Tension in back
    back-tension-cervical | Tension in neck
  back-spasms | Spasms of back
    back-opisthotonos | Opisthotonos
  back-curvature | Curvature of spine (scoliosis)
  back-sciatica | Sciatica
    back-sciatica-right | Right-sided sciatica
    back-sciatica-left | Left-sided sciatica
    back-sciatica-sitting-agg | Sciatica worse sitting
    back-sciatica-motion-amel | Sciatica better from motion
    back-sciatica-pregnancy | Sciatica in pregnancy
    back-sciatica-disc | Sciatica from disc herniation
    back-sciatica-chronic | Chronic sciatica
  back-coldness | Coldness of back
  back-heat | Heat of back
  back-perspiration | Perspiration on back
=== Extremities ===
  ext-pain | Pain in extremities
    ext-pain-joints | Joint pain (arthralgia)
    ext-pain-shoulder | Shoulder pain
    ext-pain-elbow | Elbow pain
    ext-pain-wrist | Wrist pain
    ext-pain-fingers | Finger pain
    ext-pain-hip | Hip pain
    ext-pain-knee | Knee pain
    ext-pain-ankle | Ankle pain
    ext-pain-heel | Heel pain
    ext-pain-toes | Toe pain
    ext-pain-rheumatic | Rheumatic pain
    ext-pain-gouty | Gouty pain
    ext-pain-wandering | Wandering pains
    ext-pain-plantar-fascia | Plantar fascia pain
    ext-pain-frozen-shoulder | Frozen shoulder pain
    ext-pain-tennis-elbow | Tennis elbow pain
    ext-pain-carpal-tunnel | Carpal tunnel pain
  ext-swelling | Swelling of extremities
    ext-swelling-joints | Swelling of joints
    ext-swelling-knee | Swelling of knee
    ext-swelling-feet | Swelling of feet/ankles
    ext-swelling-hands | Swelling of hands
    ext-swelling-ankle-pregnancy | Ankle swelling in pregnancy
    ext-swelling-knee-arthritis | Knee swelling from arthritis
    ext-swelling-feet-heart | Feet swelling from heart disease
  ext-stiffness | Stiffness of extremities
    ext-stiffness-morning | Stiffness in morning
    ext-stiffness-joints | Stiffness of joints
  ext-numbness | Numbness of extremities
    ext-numbness-fingers | Numbness of fingers
    ext-numbness-hands | Numbness of hands
    ext-numbness-feet | Numbness of feet
    ext-numbness-legs | Numbness of legs
    ext-numbness-hands-morning | Hands numb in morning
    ext-numbness-carpal-tunnel | Numbness from carpal tunnel
    ext-numbness-diabetic | Diabetic numbness in feet
  ext-cramps | Cramps in extremities
    ext-cramps-calves | Cramps in calves
    ext-cramps-feet | Cramps in soles/feet
    ext-cramps-toes | Cramps in toes
    ext-cramps-hands | Cramps in hands
    ext-cramps-pregnancy | Leg cramps in pregnancy
    ext-cramps-writing | Writer's cramp
    ext-cramps-swimming | Cramps while swimming
  ext-weakness | Weakness of extremities
    ext-weakness-lower-limbs | Weakness of lower limbs
    ext-weakness-upper-limbs | Weakness of upper limbs
    ext-weakness-legs-climbing | Weakness of legs climbing stairs
    ext-weakness-hands-grip | Weak grip strength
  ext-trembling | Trembling of extremities
    ext-trembling-hands | Trembling of hands
    ext-trembling-legs | Trembling of legs
    ext-trembling-elderly | Trembling in elderly
  ext-coldness | Coldness of extremities
    ext-coldness-hands | Cold hands
    ext-coldness-feet | Cold feet
    ext-coldness-tips | Cold fingertips
    ext-coldness-raynaud | Cold extremities (Raynaud's)
    ext-coldness-feet-bed | Cold feet in bed
  ext-tingling | Tingling in extremities
  ext-restlessness | Restlessness of limbs
    ext-restlessness-legs | Restless legs
    ext-restlessness-legs-night | Restless legs at night (in bed)
    ext-restlessness-sitting | Restless legs while sitting
  ext-paralysis | Paralysis of extremities
  ext-varicose-veins | Varicose veins
    ext-varicose-veins-pregnancy | Varicose veins in pregnancy
  ext-corns | Corns
    ext-corns-painful | Painful corns
  ext-bunion | Bunion
  ext-gout | Gout
    ext-gout-big-toe | Gout of big toe
    ext-gout-chronic | Chronic gout
  ext-arthritis | Arthritis
    ext-arthritis-rheumatoid | Rheumatoid arthritis
    ext-arthritis-osteo | Osteoarthritis
    ext-arthritis-deformans | Arthritis deformans
    ext-arthritis-psoriatic | Psoriatic arthritis
    ext-arthritis-reactive | Reactive arthritis
    ext-arthritis-juvenile | Juvenile arthritis
    ext-arthritis-hip | Hip arthritis
    ext-arthritis-finger | Finger joint arthritis
    ext-arthritis-weather | Arthritis worse in weather change
  ext-carpal-tunnel | Carpal tunnel syndrome
  ext-ganglion | Ganglion
  ext-nails | Nail complaints
    ext-nails-brittle | Brittle nails
    ext-nails-discolored | Discolored nails
    ext-nails-ingrowing | Ingrowing toenails
    ext-nails-fungus | Fungal nails
  ext-chilblains | Chilblains
=== Sleep ===
  sleep-insomnia | Insomnia (sleeplessness)
    sleep-insomnia-thoughts | Insomnia from thoughts
    sleep-insomnia-anxiety | Insomnia from anxiety
    sleep-insomnia-pain | Insomnia from pain
    sleep-insomnia-midnight-after | Wakefulness after midnight
    sleep-insomnia-coffee | Insomnia from coffee
    sleep-insomnia-overwork | Insomnia from overwork
    sleep-insomnia-elderly | Insomnia in elderly
    sleep-insomnia-children | Insomnia in children
    sleep-insomnia-jetlag | Insomnia from jet lag
    sleep-insomnia-shift-work | Insomnia from shift work
  sleep-drowsiness | Drowsiness
    sleep-drowsiness-afternoon | Drowsiness in afternoon
    sleep-drowsiness-eating | Drowsiness after eating
  sleep-dreams | Dreams
    sleep-dreams-frightful | Frightful dreams
    sleep-dreams-vivid | Vivid dreams
    sleep-dreams-death | Dreams of death
    sleep-dreams-falling | Dreams of falling
    sleep-dreams-animals | Dreams of animals
    sleep-dreams-prophetic | Prophetic dreams
  sleep-restless | Restless sleep
  sleep-starting | Starting from sleep
  sleep-position | Sleep position
    sleep-position-back | Sleeps on back
    sleep-position-abdomen | Sleeps on abdomen
    sleep-position-left | Can only sleep on left side
  sleep-unrefreshing | Unrefreshing sleep
  sleep-yawning | Yawning frequent
  sleep-talking | Talking during sleep
  sleep-grinding-teeth | Grinding teeth during sleep
  sleep-walking | Sleepwalking
  sleep-night-terrors | Night terrors in children
=== Chill ===
  chill-shaking | Shaking chill
    chill-shaking-violent | Violent shaking chill
  chill-time | Chill at specific time
    chill-morning | Chill in morning
    chill-afternoon | Chill in afternoon
    chill-evening | Chill in evening
    chill-night | Chill at night
  chill-one-sided | Chill one-sided
  chill-warm-room | Chill in warm room
  chill-drinking | Chill after drinking
  chill-internal | Internal chill
  chill-periodical | Periodical chill (malarial)
  chill-beginning-extremities | Chill beginning in extremities
=== Fever ===
  fever-high | High fever
    fever-high-sudden | Sudden high fever
    fever-high-continuous | Continuous high fever
  fever-intermittent | Intermittent fever
    fever-intermittent-malaria | Malarial fever
    fever-intermittent-weekly | Weekly intermittent fever
    fever-intermittent-quinine | Fever after quinine suppression
  fever-remittent | Remittent fever
  fever-hectic | Hectic fever
  fever-inflammatory | Inflammatory fever
  fever-afternoon | Fever in afternoon
  fever-night | Fever at night
  fever-dry-heat | Dry heat without sweat
  fever-burning-heat | Burning heat
  fever-typhoid | Typhoid fever
  fever-eruptive | Eruptive fevers (measles, chickenpox)
  fever-dengue | Dengue-type fever
=== Perspiration ===
  persp-profuse | Profuse perspiration
    persp-profuse-exertion | Profuse sweat from slight exertion
    persp-profuse-eating | Profuse sweat while eating
    persp-profuse-anxiety | Profuse sweat from anxiety
  persp-night | Night sweats
    persp-night-debilitating | Debilitating night sweats
  persp-offensive | Offensive perspiration
    persp-offensive-feet | Offensive foot sweat
    persp-offensive-axillae | Offensive axillary sweat
  persp-cold | Cold perspiration
  persp-one-sided | One-sided perspiration
  persp-staining | Perspiration staining clothes
    persp-staining-yellow | Yellow staining perspiration
  persp-suppressed | Suppressed perspiration
  persp-oily | Oily perspiration
  persp-covered-parts | Perspiration on covered parts
  persp-uncovered-parts | Perspiration on uncovered parts
=== Skin ===
  skin-eruptions | Eruptions
    skin-eruptions-eczema | Eczema
    skin-eruptions-psoriasis | Psoriasis
    skin-eruptions-urticaria | Urticaria (hives)
    skin-eruptions-herpes | Herpes
    skin-eruptions-boils | Boils (furuncles)
    skin-eruptions-carbuncles | Carbuncles
    skin-eruptions-pimples | Pimples/acne
    skin-eruptions-vesicular | Vesicular eruptions
    skin-eruptions-pustular | Pustular eruptions
    skin-eruptions-crusty | Crusty eruptions
    skin-eruptions-scaly | Scaly eruptions
    skin-eruptions-moist | Moist/weeping eruptions
    skin-eruptions-burning | Burning eruptions
    skin-eruptions-itching | Itching eruptions
    skin-eruptions-rash | Rash
    skin-eruptions-diaper | Diaper rash
    skin-eruptions-contact | Contact dermatitis
    skin-eruptions-seborrheic | Seborrheic dermatitis
    skin-eruptions-pityriasis | Pityriasis rosea
    skin-eruptions-scabies | Scabies
    skin-eruptions-chicken-pox | Chicken pox rash
    skin-eruptions-measles | Measles rash
    skin-eruptions-impetigo | Impetigo
    skin-eruptions-molluscum | Molluscum contagiosum
  skin-itching | Itching of skin
    skin-itching-night | Itching at night
    skin-itching-warmth | Itching from warmth
    skin-itching-scratching-amel | Itching better scratching
    skin-itching-scratching-agg | Itching worse scratching
    skin-itching-undressing | Itching on undressing
    skin-itching-senile | Senile pruritus
    skin-itching-diabetes | Itching in diabetes
    skin-itching-liver | Itching from liver disease
  skin-ulcers | Ulcers
    skin-ulcers-varicose | Varicose ulcers
    skin-ulcers-indolent | Indolent ulcers
    skin-ulcers-deep | Deep ulcers
    skin-ulcers-offensive | Offensive ulcers
    skin-ulcers-diabetic | Diabetic ulcers
    skin-ulcers-bedsore | Bedsores / pressure ulcers
  skin-warts | Warts
    skin-warts-flat | Flat warts
    skin-warts-pedunculated | Pedunculated warts
    skin-warts-horny | Horny warts
    skin-warts-bleeding | Bleeding warts
    skin-warts-genital | Genital warts
    skin-warts-plantar | Plantar warts
    skin-warts-filiform | Filiform warts
  skin-dryness | Dryness of skin
    skin-dryness-winter | Skin dryness worse in winter
    skin-dryness-cracking | Dry cracking skin
    skin-dryness-elderly | Dry skin in elderly
  skin-burning | Burning of skin
  skin-discoloration | Discoloration
    skin-discoloration-spots | Spots/patches
    skin-discoloration-liver-spots | Liver spots
    skin-discoloration-vitiligo | Vitiligo
    skin-discoloration-chloasma | Chloasma / melasma
  skin-erysipelas | Erysipelas
  skin-fungal | Fungal skin infections
    skin-fungal-ringworm | Ringworm
    skin-fungal-tinea | Tinea (athlete's foot)
  skin-abscess | Abscess
    skin-abscess-recurrent | Recurrent abscesses
  skin-scars | Keloid/scar complaints
  skin-cracks | Cracks/fissures of skin
    skin-cracks-hands | Cracked hands
    skin-cracks-feet | Cracked feet (heels)
  skin-coldness | Coldness of skin
  skin-gangrene | Gangrene
  skin-sensitive | Skin sensitive to touch
=== Generalities ===
  gen-weakness | Weakness, prostration
    gen-weakness-morning | Weakness in morning
    gen-weakness-exertion | Weakness from slight exertion
    gen-weakness-diarrhoea | Weakness after diarrhoea
    gen-weakness-fever | Weakness during fever
    gen-weakness-menses | Weakness during menses
    gen-weakness-nervous | Nervous weakness
    gen-weakness-sudden | Sudden weakness
